# DExtra_Hosts.txt 
# NO9S 06/29/2020 Additional information at end of file
XRF421 9v1lh.spdns.org
XRF422 dl-nordwest.spdns.de
XRF431	xrf431.xreflector-jp.org
XRF433	xrf433.de
XRF435	xrf435.xreflector-jp.org
XRF440	xrf440.e-kyushu.net
XRF441	xrf441.xreflector-jp.org
XRF444	xrf444.pa3dfn.nl
XRF445	xrf.dynu.net
XRF449	xrf.ossdr.com
XRF450	xrf450.xlxreflector.org
XRF451 451.ds6.com
XRF452 452.ds6.com
XRF456	xlx456.de
XRF459 xrf459.xreflector-jp.org
XRF464 ref.ah-ha.net
XRF470 104.49.29.243
XRF480	xrf480.n9ink,net
XRF499	xrf499.xreflector-jp.org
XRF501	reflector.tomasone.com
XRF502	xlx502.xlx.ar-dns.net
XRF508	185.188.4.15
XRF514	xrf514.xreflector-jp.org
XRF515	xrf515.xreflector-jp.org
XRF518	176.9.1.168
XRF519	xrf519.ve3zin.com
XRF520	xlx.dtdxa.com
XRF522	xlx.lucifernet.com
XRF538	xrf538.mydns.jp
XRF542 xlxrpi.duckdns.org
XRF544	xrf544.xreflector-jp.org
XRF550	550.xreflector.es
XRF551	xlx551.mydns.jp
XRF555	xrf555.w6kd.com 
XRF560	xrf560.xreflector-jp.org
XRF567 xlx567.dstarthailand.com
XRF569 xlxreflector.jpn.ph
XRF570	104.128.230.153
XRF573	216.189.148.204
XRF583	xrf583.mydns.jp
XRF595	hamradio.dip.jp
XRF599	xrf599.xreflector-jp.org
XRF600 xlx600.dvscotland.net
XRF603	24.233.107.8
XRF605	xrf605.xreflector-jp.org
XRF606	xrf606.org.uk
XRF608	xrf608.xreflector-jp.org
XRF610	103.1.213.21
XRF626	626.onnz.net
XRF630	xrf630.xreflector-jp.org
XRF634	xrf634.xreflector-jp.org
XRF650 acr.wjg.jp
XRF651	66.240.165.26
XRF673	xrf673.xreflector-jp.org
XRF698	xrf698.xreflector-jp.org
XRF699	82.102.5.239
XRF700	78.47.222.93
XRF701	xrf701.xreflector-jp.org
XRF703	xrf703.xreflector-jp.org
XRF704	xrf704.xreflector-jp.org
XRF705	xrf705.xreflector-jp.org
XRF706	xrf706.iz0rin.it
XRF707	xlx.pa7lim.nl
XRF708	xrf708.xreflector-jp.org
XRF709	xlx.dvmega.co.uk
XRF712	xrf712.mydns.jp
XRF713	xrf713.xreflector-jp.org
XRF714 xlx714.ea3hkb.com
XRF720 xrf720.freestar.us
XRF722	722.reflector.es
XRF724	xlx.dvbrazil.com.br
XRF727	w4icy.inerrantenergy.com
XRF732	xlx.hk4km.co
XRF733 xlx733.ddns.net
XRF736 xlx736.privatedns.org
XRF737	xlx737.privatedns.org
XRF738 xlx738.jj2yae.net
XRF741	xrf741.xreflector-jp.org
XRF745	www.jh4mzd.mydns.jp
XRF747 xrf747.de
XRF748	xlx748.dyndns.org
XRF749	xlx749.drgnz.com
XRF750	xlx750.nz
XRF753 xrf753.xreflector-jp.org
XRF757	xrf757.openquad.net
XRF760 xlx760.ddns.net
XRF766	201.62.48.61
XRF767 xrf767.de
XRF770	xrf770.mydns.jp
XRF773	xrf773.iz0rin.it
XRF775	xlx775.duckdns.org
XRF777	freestar.homelinux.net
XRF776	776.bayfm78.tokyo
XRF781	xrf781.xreflector-jp.org
XRF787 46.41.1.96
XRF789	75.144.65.122
XRF791 xrf791.xreflector-jp.org
XRF794	xrf794.xreflector-jp.org
XRF800	52.26.26.195
XRF801	oe1phs.ddns.net
XRF807	xrf807.owari.biz
XRF810	xrf810.xlxreflector.org
XRF811	xrf811.xlxreflector.org
XRF812	xrf812.xreflector-jp.org
XRF813 xlx.sagai.jp
XRF815	xrf815.k0jsc.com
XRF817 18.235.96.93
XRF822 ref822.dstarthailand.com
XRF823 xlx823.dstarthailand.com
XRF828	5.1.85.55
XRF850	88.198.94.77
XRF855	www.n4jes.com
XRF866	xlx866.ddns.net
XRF859	xlx859.ke0lmx.net
Xrf861 xlx861.ve6meo.ca
XRF870	xrf870.ddns.net
XRF886 xlx886.metropit.net
XRF878	xrf878.xreflector-jp.org
